2024-11-30 22:46:36 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/countries/#O
2024-11-30 22:46:36 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/countries/#P
2024-11-30 22:46:36 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/countries/#Q
2024-11-30 22:46:36 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/countries/#R
2024-11-30 22:46:36 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/countries/#S
2024-11-30 22:46:36 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/countries/#T
2024-11-30 22:46:36 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/countries/#U
2024-11-30 22:46:36 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/countries/#V
2024-11-30 22:46:36 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/countries/#W
2024-11-30 22:46:36 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/countries/#X
2024-11-30 22:46:36 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/countries/#Y
2024-11-30 22:46:37 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/countries/#Z
2024-11-30 22:46:37 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/mega-menu/countries/regions
2024-11-30 22:46:37 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/mega-menu/countries/regions/africa
2024-11-30 22:46:37 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/mega-menu/countries/regions/americas
